transaction_id,client_id,conversion_timestamp,revenue,first_click_source,first_click_medium,first_click_campaign,first_click_channel,last_click_source,last_click_medium,last_click_campaign,last_click_channel,touchpoint_count,days_to_convert,conversion_date
ORD-20250308-219,1741435301-zNy_7FZ_r84B,2025-03-08 12:08:49.648000+00:00,999.0,direct,none,,Direct,direct,none,,Direct,1,0,2025-03-08
ORD-20250308-208,1741438403-Q6-Ercm31b9z,2025-03-08 13:10:41.805000+00:00,1349.0,B49B20,9A780E,268EFC,Other,B49B20,9A780E,268EFC,Other,1,0,2025-03-08
ORD-20250308-244,1741441969-dKIxbmYzHODr,2025-03-08 14:02:46.046000+00:00,211.0,direct,none,,Direct,direct,none,,Direct,1,0,2025-03-08
ORD-20250308-402,1741454243-yr3GTRrmVmE1,2025-03-08 17:21:03.235000+00:00,999.0,direct,none,,Direct,direct,none,,Direct,1,0,2025-03-08
ORD-20250308-187,1741454510-4loTNj1AnjHM,2025-03-08 17:32:19.290000+00:00,698.0,google,cpc,4E64F7,Paid Search,google,cpc,4E64F7,Paid Search,1,0,2025-03-08
ORD-20250308-279,1741459212-7VigmERfpOHe,2025-03-08 19:30:13.073000+00:00,2449.0,direct,none,,Direct,direct,none,,Direct,1,0,2025-03-08
ORD-20250308-832,1741464828-PaJF0mvljpvm,2025-03-08 20:20:16.892000+00:00,1349.0,direct,none,,Direct,direct,none,,Direct,1,0,2025-03-08
ORD-20250308-431,1741470471-eyllBy3aK2u8,2025-03-08 21:53:00.354000+00:00,2299.0,direct,none,,Direct,direct,none,,Direct,1,0,2025-03-08
ORD-20250308-273,1741476677-Mum3kubLr6NE,2025-03-08 23:39:20.655000+00:00,1535.0,direct,none,,Direct,direct,none,,Direct,1,0,2025-03-08
ORD-20250308-957,80529520-9307-4360-b49b-c8934e49835a,2025-03-08 17:24:12.362000+00:00,649.0,direct,none,,Direct,direct,none,,Direct,1,0,2025-03-08
ORD-20250306-121,D2F161C8-9a60-478D-a108-9dbfaf4eaf19,2025-03-06 18:03:26.107000+00:00,799.0,direct,none,,Direct,direct,none,,Direct,1,0,2025-03-06
ORD-20250301-407,F3AFD77B-87cf-4BBF-b084-011cedfc1da0,2025-03-01 00:30:00.990000+00:00,349.0,direct,none,,Direct,direct,none,,Direct,1,0,2025-03-01
